county,office,district,party,candidate,votes
Lafayette,United States Senator,,Write-In,David Kirk,0
Lawrence,United States Senator,,Republican,Eric Schmitt,9834
Lawrence,United States Senator,,Democratic,Trudy Busch Valentine,2316
Lawrence,United States Senator,,Libertarian,Jonathan Dine,251
Lawrence,United States Senator,,Constitution,Paul Venable,160
Lawrence,United States Senator,,Write-In,Nathan V. Mooney,0
Lawrence,United States Senator,,Write-In,Theo Brown Sr,0
Lawrence,United States Senator,,Write-In,David Kirk,0
Lewis,United States Senator,,Republican,Eric Schmitt,2339
Lewis,United States Senator,,Democratic,Trudy Busch Valentine,716
Lewis,United States Senator,,Libertarian,Jonathan Dine,72
Lewis,United States Senator,,Constitution,Paul Venable,25
Lewis,United States Senator,,Write-In,Nathan V. Mooney,0
Lewis,United States Senator,,Write-In,Theo Brown Sr,0
Lewis,United States Senator,,Write-In,David Kirk,0
Lincoln,United States Senator,,Republican,Eric Schmitt,14099
Lincoln,United States Senator,,Democratic,Trudy Busch Valentine,5202
Lincoln,United States Senator,,Libertarian,Jonathan Dine,413
Lincoln,United States Senator,,Constitution,Paul Venable,159
Lincoln,United States Senator,,Write-In,Nathan V. Mooney,0
Lincoln,United States Senator,,Write-In,Theo Brown Sr,0
Lincoln,United States Senator,,Write-In,David Kirk,0
Linn,United States Senator,,Republican,Eric Schmitt,2915
Linn,United States Senator,,Democratic,Trudy Busch Valentine,1129
Linn,United States Senator,,Libertarian,Jonathan Dine,68
Linn,United States Senator,,Constitution,Paul Venable,19
Linn,United States Senator,,Write-In,Nathan V. Mooney,0
Linn,United States Senator,,Write-In,Theo Brown Sr,0
Linn,United States Senator,,Write-In,David Kirk,0
Livingston,United States Senator,,Republican,Eric Schmitt,3523
Livingston,United States Senator,,Democratic,Trudy Busch Valentine,1131
Livingston,United States Senator,,Libertarian,Jonathan Dine,52
Livingston,United States Senator,,Constitution,Paul Venable,37
Livingston,United States Senator,,Write-In,Nathan V. Mooney,0
Livingston,United States Senator,,Write-In,Theo Brown Sr,0
Livingston,United States Senator,,Write-In,David Kirk,0
Macon,United States Senator,,Republican,Eric Schmitt,4264
Macon,United States Senator,,Democratic,Trudy Busch Valentine,1174
Macon,United States Senator,,Libertarian,Jonathan Dine,103
Macon,United States Senator,,Constitution,Paul Venable,47
Macon,United States Senator,,Write-In,Nathan V. Mooney,0
Macon,United States Senator,,Write-In,Theo Brown Sr,0
Macon,United States Senator,,Write-In,David Kirk,0
Madison,United States Senator,,Republican,Eric Schmitt,2907
Madison,United States Senator,,Democratic,Trudy Busch Valentine,721
Madison,United States Senator,,Libertarian,Jonathan Dine,63
Madison,United States Senator,,Constitution,Paul Venable,29
Madison,United States Senator,,Write-In,Nathan V. Mooney,0
Madison,United States Senator,,Write-In,Theo Brown Sr,0
Madison,United States Senator,,Write-In,David Kirk,0
Maries,United States Senator,,Republican,Eric Schmitt,2737
Maries,United States Senator,,Democratic,Trudy Busch Valentine,652
Maries,United States Senator,,Libertarian,Jonathan Dine,45
Maries,United States Senator,,Constitution,Paul Venable,20
Maries,United States Senator,,Write-In,Nathan V. Mooney,0
Maries,United States Senator,,Write-In,Theo Brown Sr,0
Maries,United States Senator,,Write-In,David Kirk,0
Marion,United States Senator,,Republican,Eric Schmitt,6254
Marion,United States Senator,,Democratic,Trudy Busch Valentine,2197
Marion,United States Senator,,Libertarian,Jonathan Dine,187
Marion,United States Senator,,Constitution,Paul Venable,55
Marion,United States Senator,,Write-In,Nathan V. Mooney,0
Marion,United States Senator,,Write-In,Theo Brown Sr,0
Marion,United States Senator,,Write-In,David Kirk,0
McDonald,United States Senator,,Republican,Eric Schmitt,5001
McDonald,United States Senator,,Democratic,Trudy Busch Valentine,887
McDonald,United States Senator,,Libertarian,Jonathan Dine,151
McDonald,United States Senator,,Constitution,Paul Venable,52
McDonald,United States Senator,,Write-In,Nathan V. Mooney,0
McDonald,United States Senator,,Write-In,Theo Brown Sr,0
McDonald,United States Senator,,Write-In,David Kirk,0
Mercer,United States Senator,,Republican,Eric Schmitt,1028
Mercer,United States Senator,,Democratic,Trudy Busch Valentine,213
Mercer,United States Senator,,Libertarian,Jonathan Dine,20
Mercer,United States Senator,,Constitution,Paul Venable,3
Mercer,United States Senator,,Write-In,Nathan V. Mooney,0
Mercer,United States Senator,,Write-In,Theo Brown Sr,0
Mercer,United States Senator,,Write-In,David Kirk,0
Miller,United States Senator,,Republican,Eric Schmitt,6889
Miller,United States Senator,,Democratic,Trudy Busch Valentine,1574
Miller,United States Senator,,Libertarian,Jonathan Dine,184
Miller,United States Senator,,Constitution,Paul Venable,92
Miller,United States Senator,,Write-In,Nathan V. Mooney,0
Miller,United States Senator,,Write-In,Theo Brown Sr,0
Miller,United States Senator,,Write-In,David Kirk,0
Mississippi,United States Senator,,Republican,Eric Schmitt,2237
Mississippi,United States Senator,,Democratic,Trudy Busch Valentine,592
Mississippi,United States Senator,,Libertarian,Jonathan Dine,42
Mississippi,United States Senator,,Constitution,Paul Venable,25
Mississippi,United States Senator,,Write-In,Nathan V. Mooney,0
Mississippi,United States Senator,,Write-In,Theo Brown Sr,0
Mississippi,United States Senator,,Write-In,David Kirk,0
Moniteau,United States Senator,,Republican,Eric Schmitt,3903
Moniteau,United States Senator,,Democratic,Trudy Busch Valentine,1088
Moniteau,United States Senator,,Libertarian,Jonathan Dine,95
Moniteau,United States Senator,,Constitution,Paul Venable,42
Moniteau,United States Senator,,Write-In,Nathan V. Mooney,0
Moniteau,United States Senator,,Write-In,Theo Brown Sr,0
Moniteau,United States Senator,,Write-In,David Kirk,0
Monroe,United States Senator,,Republican,Eric Schmitt,2344
Monroe,United States Senator,,Democratic,Trudy Busch Valentine,739
Monroe,United States Senator,,Libertarian,Jonathan Dine,56
Monroe,United States Senator,,Constitution,Paul Venable,19
Monroe,United States Senator,,Write-In,Nathan V. Mooney,0
Monroe,United States Senator,,Write-In,Theo Brown Sr,0
Monroe,United States Senator,,Write-In,David Kirk,0
Montgomery,United States Senator,,Republican,Eric Schmitt,2990
Montgomery,United States Senator,,Democratic,Trudy Busch Valentine,1015
Montgomery,United States Senator,,Libertarian,Jonathan Dine,51
